2,539,503,4,8,0.400146
3,550,498,4,9,0.505371
2,561,345,6,11,0.507812
2,438,593,5,7,0.549805
3,487,501,12,5,0.605957
3,550,502,4,10,0.607422
3,487,444,14,7,0.611328
3,488,515,11,5,0.62207
3,488,521,11,4,0.638184
2,550,497,4,7,0.687988
3,539,502,5,13,0.715332
3,488,528,11,5,0.72998
2,547,480,7,7,0.730469
2,569,386,7,9,0.736816
3,488,477,14,7,0.736816
3,488,472,14,5,0.743652
3,488,508,12,5,0.752441
3,569,387,7,14,0.773438
3,547,480,6,14,0.776855
3,174,576,10,15,0.793457
0,588,8,11,16,0.800781
0,618,380,14,25,0.803223
0,589,28,10,20,0.808594
3,560,344,7,16,0.822266
0,591,49,11,18,0.842285
0,605,240,15,27,0.85791
0,315,440,28,24,0.858887
0,575,237,14,24,0.867188
1,525,377,14,29,0.883789
0,565,36,11,18,0.891113
0,562,416,15,32,0.901367
0,126,576,39,17,0.903809
0,347,516,17,36,0.905273
1,284,513,21,40,0.912109
0,564,465,15,34,0.91748
0,375,572,40,19,0.91748
1,321,513,23,42,0.918457
0,528,440,15,37,0.921875
1,599,272,15,32,0.932129
0,471,540,32,40,0.944336
